study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias	sample_title
PRJNA436454	SAMN08626169	SRX3781102	SRR6824295	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824295/SRR6824295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824295/SRR6824295_2.fastq.gz	MDR_10142	MDR_10142
PRJNA436454	SAMN08626167	SRX3781101	SRR6824296	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824296/SRR6824296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824296/SRR6824296_2.fastq.gz	MDR_10107	MDR_10107
PRJNA436454	SAMN08626023	SRX3781100	SRR6824297	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824297/SRR6824297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824297/SRR6824297_2.fastq.gz	MDR_10133	MDR_10133
PRJNA436454	SAMN08626172	SRX3781099	SRR6824298	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824298/SRR6824298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824298/SRR6824298_2.fastq.gz	MDR_10309	MDR_10309
PRJNA436454	SAMN08626173	SRX3781098	SRR6824299	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824299/SRR6824299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824299/SRR6824299_2.fastq.gz	MDR_10328	MDR_10328
PRJNA436454	SAMN08626170	SRX3781097	SRR6824300	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824300/SRR6824300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824300/SRR6824300_2.fastq.gz	MDR_10181	MDR_10181
PRJNA436454	SAMN08626171	SRX3781096	SRR6824301	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824301/SRR6824301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824301/SRR6824301_2.fastq.gz	MDR_10216	MDR_10216
PRJNA436454	SAMN08626174	SRX3781095	SRR6824302	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824302/SRR6824302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824302/SRR6824302_2.fastq.gz	MDR_10410	MDR_10410
PRJNA436454	SAMN08626175	SRX3781094	SRR6824303	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824303/SRR6824303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824303/SRR6824303_2.fastq.gz	MDR_10431	MDR_10431
PRJNA436454	SAMN08626091	SRX3781093	SRR6824304	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824304/SRR6824304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824304/SRR6824304_2.fastq.gz	MDR_3208	MDR_3208
PRJNA436454	SAMN08626348	SRX3781092	SRR6824305	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824305/SRR6824305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824305/SRR6824305_2.fastq.gz	MDR_30155	MDR_30155
PRJNA436454	SAMN08626080	SRX3781091	SRR6824306	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824306/SRR6824306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824306/SRR6824306_2.fastq.gz	MDR_30157	MDR_30157
PRJNA436454	SAMN08626346	SRX3781090	SRR6824307	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824307/SRR6824307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824307/SRR6824307_2.fastq.gz	MDR_30147	MDR_30147
PRJNA436454	SAMN08626347	SRX3781089	SRR6824308	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824308/SRR6824308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824308/SRR6824308_2.fastq.gz	MDR_30152	MDR_30152
PRJNA436454	SAMN08626345	SRX3781088	SRR6824309	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824309/SRR6824309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824309/SRR6824309_2.fastq.gz	MDR_30124	MDR_30124
PRJNA436454	SAMN08626079	SRX3781087	SRR6824310	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824310/SRR6824310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824310/SRR6824310_2.fastq.gz	MDR_30126	MDR_30126
PRJNA436454	SAMN08626077	SRX3781086	SRR6824311	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824311/SRR6824311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824311/SRR6824311_2.fastq.gz	MDR_30118	MDR_30118
PRJNA436454	SAMN08626078	SRX3781085	SRR6824312	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824312/SRR6824312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824312/SRR6824312_2.fastq.gz	MDR_30119	MDR_30119
PRJNA436454	SAMN08626349	SRX3781084	SRR6824313	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824313/SRR6824313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824313/SRR6824313_2.fastq.gz	MDR_30159	MDR_30159
PRJNA436454	SAMN08626350	SRX3781083	SRR6824314	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824314/SRR6824314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824314/SRR6824314_2.fastq.gz	MDR_30161	MDR_30161
PRJNA436454	SAMN08626352	SRX3781082	SRR6824315	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824315/SRR6824315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824315/SRR6824315_2.fastq.gz	MDR_30166	MDR_30166
PRJNA436454	SAMN08626351	SRX3781081	SRR6824316	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824316/SRR6824316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824316/SRR6824316_2.fastq.gz	MDR_30165	MDR_30165
PRJNA436454	SAMN08626365	SRX3781080	SRR6824317	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824317/SRR6824317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824317/SRR6824317_2.fastq.gz	non-MDR_5148	non-MDR_5148
PRJNA436454	SAMN08626360	SRX3781079	SRR6824318	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824318/SRR6824318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824318/SRR6824318_2.fastq.gz	non-MDR_3207	non-MDR_3207
PRJNA436454	SAMN08626359	SRX3781078	SRR6824319	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824319/SRR6824319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824319/SRR6824319_2.fastq.gz	non-MDR_3140	non-MDR_3140
PRJNA436454	SAMN08626358	SRX3781077	SRR6824320	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824320/SRR6824320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824320/SRR6824320_2.fastq.gz	non-MDR_3101	non-MDR_3101
PRJNA436454	SAMN08626422	SRX3781076	SRR6824321	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824321/SRR6824321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824321/SRR6824321_2.fastq.gz	non-MDR_30139	non-MDR_30139
PRJNA436454	SAMN08626364	SRX3781075	SRR6824322	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824322/SRR6824322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824322/SRR6824322_2.fastq.gz	non-MDR_5103	non-MDR_5103
PRJNA436454	SAMN08626363	SRX3781074	SRR6824323	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824323/SRR6824323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824323/SRR6824323_2.fastq.gz	non-MDR_4207	non-MDR_4207
PRJNA436454	SAMN08626362	SRX3781073	SRR6824324	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824324/SRR6824324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824324/SRR6824324_2.fastq.gz	non-MDR_4110	non-MDR_4110
PRJNA436454	SAMN08626361	SRX3781072	SRR6824325	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824325/SRR6824325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824325/SRR6824325_2.fastq.gz	non-MDR_3326	non-MDR_3326
PRJNA436454	SAMN08626188	SRX3781071	SRR6824326	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824326/SRR6824326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824326/SRR6824326_2.fastq.gz	MDR_11277	MDR_11277
PRJNA436454	SAMN08626187	SRX3781070	SRR6824327	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824327/SRR6824327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824327/SRR6824327_2.fastq.gz	MDR_11269	MDR_11269
PRJNA436454	SAMN08626027	SRX3781069	SRR6824328	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824328/SRR6824328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824328/SRR6824328_2.fastq.gz	MDR_11220	MDR_11220
PRJNA436454	SAMN08626184	SRX3781068	SRR6824329	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824329/SRR6824329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824329/SRR6824329_2.fastq.gz	MDR_11171	MDR_11171
PRJNA436454	SAMN08626026	SRX3781067	SRR6824330	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824330/SRR6824330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824330/SRR6824330_2.fastq.gz	MDR_11168	MDR_11168
PRJNA436454	SAMN08626183	SRX3781066	SRR6824331	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824331/SRR6824331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824331/SRR6824331_2.fastq.gz	MDR_11166	MDR_11166
PRJNA436454	SAMN08626028	SRX3781065	SRR6824332	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824332/SRR6824332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824332/SRR6824332_2.fastq.gz	MDR_11263	MDR_11263
PRJNA436454	SAMN08626186	SRX3781064	SRR6824333	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824333/SRR6824333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824333/SRR6824333_2.fastq.gz	MDR_11244	MDR_11244
PRJNA436454	SAMN08626082	SRX3781063	SRR6824334	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824334/SRR6824334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824334/SRR6824334_2.fastq.gz	MDR_1124	MDR_1124
PRJNA436454	SAMN08626185	SRX3781062	SRR6824335	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824335/SRR6824335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824335/SRR6824335_2.fastq.gz	MDR_11239	MDR_11239
PRJNA436454	SAMN08626278	SRX3781061	SRR6824336	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824336/SRR6824336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824336/SRR6824336_2.fastq.gz	MDR_18212	MDR_18212
PRJNA436454	SAMN08626056	SRX3781060	SRR6824337	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824337/SRR6824337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824337/SRR6824337_2.fastq.gz	MDR_18206	MDR_18206
PRJNA436454	SAMN08626054	SRX3781059	SRR6824338	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824338/SRR6824338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824338/SRR6824338_2.fastq.gz	MDR_18154	MDR_18154
PRJNA436454	SAMN08626276	SRX3781058	SRR6824339	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824339/SRR6824339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824339/SRR6824339_2.fastq.gz	MDR_18144	MDR_18144
PRJNA436454	SAMN08626055	SRX3781057	SRR6824340	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824340/SRR6824340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824340/SRR6824340_2.fastq.gz	MDR_18201	MDR_18201
PRJNA436454	SAMN08626277	SRX3781056	SRR6824341	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824341/SRR6824341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824341/SRR6824341_2.fastq.gz	MDR_18163	MDR_18163
PRJNA436454	SAMN08626274	SRX3781055	SRR6824342	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824342/SRR6824342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824342/SRR6824342_2.fastq.gz	MDR_17366	MDR_17366
PRJNA436454	SAMN08626273	SRX3781054	SRR6824343	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824343/SRR6824343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824343/SRR6824343_2.fastq.gz	MDR_17244	MDR_17244
PRJNA436454	SAMN08626053	SRX3781053	SRR6824344	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824344/SRR6824344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824344/SRR6824344_2.fastq.gz	MDR_18135	MDR_18135
PRJNA436454	SAMN08626275	SRX3781052	SRR6824345	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824345/SRR6824345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824345/SRR6824345_2.fastq.gz	MDR_18128	MDR_18128
PRJNA436454	SAMN08626090	SRX3781051	SRR6824346	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824346/SRR6824346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824346/SRR6824346_2.fastq.gz	MDR_3202	MDR_3202
PRJNA436454	SAMN08626154	SRX3781050	SRR6824347	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824347/SRR6824347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824347/SRR6824347_2.fastq.gz	MDR_7133	MDR_7133
PRJNA436454	SAMN08626155	SRX3781049	SRR6824348	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824348/SRR6824348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824348/SRR6824348_2.fastq.gz	MDR_7153	MDR_7153
PRJNA436454	SAMN08626152	SRX3781048	SRR6824349	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824349/SRR6824349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824349/SRR6824349_2.fastq.gz	MDR_7119	MDR_7119
PRJNA436454	SAMN08626153	SRX3781047	SRR6824350	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824350/SRR6824350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824350/SRR6824350_2.fastq.gz	MDR_7131	MDR_7131
PRJNA436454	SAMN08626150	SRX3781046	SRR6824351	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824351/SRR6824351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824351/SRR6824351_2.fastq.gz	MDR_7114	MDR_7114
PRJNA436454	SAMN08626151	SRX3781045	SRR6824352	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824352/SRR6824352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824352/SRR6824352_2.fastq.gz	MDR_7118	MDR_7118
PRJNA436454	SAMN08626016	SRX3781044	SRR6824353	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824353/SRR6824353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824353/SRR6824353_2.fastq.gz	MDR_6157	MDR_6157
PRJNA436454	SAMN08626149	SRX3781043	SRR6824354	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824354/SRR6824354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824354/SRR6824354_2.fastq.gz	MDR_6165	MDR_6165
PRJNA436454	SAMN08626015	SRX3781042	SRR6824355	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824355/SRR6824355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824355/SRR6824355_2.fastq.gz	MDR_6135	MDR_6135
PRJNA436454	SAMN08626148	SRX3781041	SRR6824356	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824356/SRR6824356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824356/SRR6824356_2.fastq.gz	MDR_6145	MDR_6145
PRJNA436454	SAMN08626320	SRX3781040	SRR6824357	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824357/SRR6824357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824357/SRR6824357_2.fastq.gz	MDR_23338	MDR_23338
PRJNA436454	SAMN08626321	SRX3781039	SRR6824358	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824358/SRR6824358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824358/SRR6824358_2.fastq.gz	MDR_23341	MDR_23341
PRJNA436454	SAMN08626069	SRX3781038	SRR6824359	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824359/SRR6824359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824359/SRR6824359_2.fastq.gz	MDR_23120	MDR_23120
PRJNA436454	SAMN08626315	SRX3781037	SRR6824360	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824360/SRR6824360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824360/SRR6824360_2.fastq.gz	MDR_23215	MDR_23215
PRJNA436454	SAMN08626068	SRX3781036	SRR6824361	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824361/SRR6824361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824361/SRR6824361_2.fastq.gz	MDR_22257	MDR_22257
PRJNA436454	SAMN08626314	SRX3781035	SRR6824362	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824362/SRR6824362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824362/SRR6824362_2.fastq.gz	MDR_22268	MDR_22268
PRJNA436454	SAMN08626318	SRX3781034	SRR6824363	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824363/SRR6824363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824363/SRR6824363_2.fastq.gz	MDR_23264	MDR_23264
PRJNA436454	SAMN08626319	SRX3781033	SRR6824364	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824364/SRR6824364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824364/SRR6824364_2.fastq.gz	MDR_23324	MDR_23324
PRJNA436454	SAMN08626316	SRX3781032	SRR6824365	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824365/SRR6824365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824365/SRR6824365_2.fastq.gz	MDR_23234	MDR_23234
