accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR18897177	SRP276100	new	PRJNA650381	SAMN27743965	IDR1900029829-01-01	A103	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900029829-01-01_R1.fastq.gz	IDR1900029829-01-01_R2.fastq.gz				
SRR18897176	SRP276100	new	PRJNA650381	SAMN27743966	IDR1900030392-01-01	A104	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900030392-01-01_R1.fastq.gz	IDR1900030392-01-01_R2.fastq.gz				
SRR18897175	SRP276100	new	PRJNA650381	SAMN27743967	IDR1900030651-01-02	A105	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900030651-01-02_R1.fastq.gz	IDR1900030651-01-02_R2.fastq.gz				
SRR18897174	SRP276100	new	PRJNA650381	SAMN27743968	IDR1900030837-01-01	A106	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900030837-01-01_R1.fastq.gz	IDR1900030837-01-01_R2.fastq.gz				
SRR18897173	SRP276100	new	PRJNA650381	SAMN27743969	IDR1900031012-01-01	A107	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031012-01-01_R1.fastq.gz	IDR1900031012-01-01_R2.fastq.gz				
SRR18897172	SRP276100	new	PRJNA650381	SAMN27743970	IDR1900031180-01-01	A108	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031180-01-01_R1.fastq.gz	IDR1900031180-01-01_R2.fastq.gz				
SRR18897171	SRP276100	new	PRJNA650381	SAMN27743971	IDR1900031468-01-01	A109	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031468-01-01_R1.fastq.gz	IDR1900031468-01-01_R2.fastq.gz				
SRR18897170	SRP276100	new	PRJNA650381	SAMN27743972	IDR1900031470-01-01	A110	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031470-01-01_R1.fastq.gz	IDR1900031470-01-01_R2.fastq.gz				
SRR18897169	SRP276100	new	PRJNA650381	SAMN27743973	IDR1900031471-01-01	A111	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031471-01-01_R1.fastq.gz	IDR1900031471-01-01_R2.fastq.gz				
SRR18909928	SRP276100	new	PRJNA650381	SAMN27761164	IDR1900031532-01-01	A112	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031532-01-01_R1.fastq.gz	IDR1900031532-01-01_R2.fastq.gz				
SRR18909927	SRP276100	new	PRJNA650381	SAMN27761165	IDR1900031533-01-01	A113	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031533-01-01_R1.fastq.gz	IDR1900031533-01-01_R2.fastq.gz				
SRR18909916	SRP276100	new	PRJNA650381	SAMN27761166	IDR1900031534-01-01	A114	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031534-01-01_R1.fastq.gz	IDR1900031534-01-01_R2.fastq.gz				
SRR18909915	SRP276100	new	PRJNA650381	SAMN27761167	IDR1900031536-01-01	A115	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031536-01-01_R1.fastq.gz	IDR1900031536-01-01_R2.fastq.gz				
SRR18909914	SRP276100	new	PRJNA650381	SAMN27761168	IDR1900031537-01-01	A116	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031537-01-01_R1.fastq.gz	IDR1900031537-01-01_R2.fastq.gz				
SRR18909913	SRP276100	new	PRJNA650381	SAMN27761169	IDR1900031540-01-01	A117	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031540-01-01_R1.fastq.gz	IDR1900031540-01-01_R2.fastq.gz				
SRR18909912	SRP276100	new	PRJNA650381	SAMN27761170	IDR1900031541-01-01	A118	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031541-01-01_R1.fastq.gz	IDR1900031541-01-01_R2.fastq.gz				
SRR18909911	SRP276100	new	PRJNA650381	SAMN27761171	IDR1900031542-01-01	A119	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031542-01-01_R1.fastq.gz	IDR1900031542-01-01_R2.fastq.gz				
SRR18909910	SRP276100	new	PRJNA650381	SAMN27761172	IDR1900031545-01-01	A120	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031545-01-01_R1.fastq.gz	IDR1900031545-01-01_R2.fastq.gz				
SRR18909909	SRP276100	new	PRJNA650381	SAMN27761173	IDR1900031546-01-01	A121	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031546-01-01_R1.fastq.gz	IDR1900031546-01-01_R2.fastq.gz				
SRR18909926	SRP276100	new	PRJNA650381	SAMN27761174	IDR1900031547-01-01	A122	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031547-01-01_R1.fastq.gz	IDR1900031547-01-01_R2.fastq.gz				
SRR18909925	SRP276100	new	PRJNA650381	SAMN27761175	IDR1900031548-01-01	A123	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031548-01-01_R1.fastq.gz	IDR1900031548-01-01_R2.fastq.gz				
SRR18909924	SRP276100	new	PRJNA650381	SAMN27761176	IDR1900031550-01-01	A124	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031550-01-01_R1.fastq.gz	IDR1900031550-01-01_R2.fastq.gz				
SRR18909923	SRP276100	new	PRJNA650381	SAMN27761177	IDR1900031551-01-02	A125	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031551-01-02_R1.fastq.gz	IDR1900031551-01-02_R2.fastq.gz				
SRR18909922	SRP276100	new	PRJNA650381	SAMN27761178	IDR1900031552-01-02	A126	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031552-01-02_R1.fastq.gz	IDR1900031552-01-02_R2.fastq.gz				
SRR18909921	SRP276100	new	PRJNA650381	SAMN27761179	IDR1900031716-01-01	A127	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900031716-01-01_R1.fastq.gz	IDR1900031716-01-01_R2.fastq.gz				
SRR18909920	SRP276100	new	PRJNA650381	SAMN27761180	IDR1900032217-01-01	A128	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032217-01-01_R1.fastq.gz	IDR1900032217-01-01_R2.fastq.gz				
SRR18909919	SRP276100	new	PRJNA650381	SAMN27761181	IDR1900032218-01-01	A129	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032218-01-01_R1.fastq.gz	IDR1900032218-01-01_R2.fastq.gz				
SRR18909918	SRP276100	new	PRJNA650381	SAMN27761182	IDR1900032219-01-01	A130	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032219-01-01_R1.fastq.gz	IDR1900032219-01-01_R2.fastq.gz				
SRR18909917	SRP276100	new	PRJNA650381	SAMN27761183	IDR1900032455-01-01	A131	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032455-01-01_R1.fastq.gz	IDR1900032455-01-01_R2.fastq.gz				
SRR18910172	SRP276100	new	PRJNA650381	SAMN27761463	IDR1900032459-01-01	A132	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032459-01-01_R1.fastq.gz	IDR1900032459-01-01_R2.fastq.gz				
SRR18910171	SRP276100	new	PRJNA650381	SAMN27761464	IDR1900032603-01-01	A133	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032603-01-01_R1.fastq.gz	IDR1900032603-01-01_R2.fastq.gz				
SRR18910160	SRP276100	new	PRJNA650381	SAMN27761465	IDR1900032605-01-01	A134	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032605-01-01_R1.fastq.gz	IDR1900032605-01-01_R2.fastq.gz				
SRR18910159	SRP276100	new	PRJNA650381	SAMN27761466	IDR1900032608-01-01	A135	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032608-01-01_R1.fastq.gz	IDR1900032608-01-01_R2.fastq.gz				
SRR18910158	SRP276100	new	PRJNA650381	SAMN27761467	IDR1900032609-01-01	A136	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032609-01-01_R1.fastq.gz	IDR1900032609-01-01_R2.fastq.gz				
SRR18910157	SRP276100	new	PRJNA650381	SAMN27761468	IDR1900032870-01-01	A137	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900032870-01-01_R1.fastq.gz	IDR1900032870-01-01_R2.fastq.gz				
SRR18910156	SRP276100	new	PRJNA650381	SAMN27761469	IDR1900033246-01-01	A138	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900033246-01-01_R1.fastq.gz	IDR1900033246-01-01_R2.fastq.gz				
SRR18910155	SRP276100	new	PRJNA650381	SAMN27761470	IDR1900033490-01-02	A1	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900033490-01-02_R1.fastq.gz	IDR1900033490-01-02_R2.fastq.gz				
SRR18910154	SRP276100	new	PRJNA650381	SAMN27761471	IDR1900034064-01-01	A139	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034064-01-01_R1.fastq.gz	IDR1900034064-01-01_R2.fastq.gz				
SRR18910153	SRP276100	new	PRJNA650381	SAMN27761472	IDR1900034094-01-01	A140	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034094-01-01_R1.fastq.gz	IDR1900034094-01-01_R2.fastq.gz				
SRR18910170	SRP276100	new	PRJNA650381	SAMN27761473	IDR1900034095-01-01	A141	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034095-01-01_R1.fastq.gz	IDR1900034095-01-01_R2.fastq.gz				
SRR18910169	SRP276100	new	PRJNA650381	SAMN27761474	IDR1900034250-01-01	A142	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034250-01-01_R1.fastq.gz	IDR1900034250-01-01_R2.fastq.gz				
SRR18910168	SRP276100	new	PRJNA650381	SAMN27761475	IDR1900034590-01-01	A143	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034590-01-01_R1.fastq.gz	IDR1900034590-01-01_R2.fastq.gz				
SRR18910167	SRP276100	new	PRJNA650381	SAMN27761476	IDR1900034591-01-01	A144	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034591-01-01_R1.fastq.gz	IDR1900034591-01-01_R2.fastq.gz				
SRR18910166	SRP276100	new	PRJNA650381	SAMN27761477	IDR1900034811-01-01	A2	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034811-01-01_R1.fastq.gz	IDR1900034811-01-01_R2.fastq.gz				
SRR18910165	SRP276100	new	PRJNA650381	SAMN27761478	IDR1900034816-01-01	A3	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034816-01-01_R1.fastq.gz	IDR1900034816-01-01_R2.fastq.gz				
SRR18910164	SRP276100	new	PRJNA650381	SAMN27761479	IDR1900034820-01-01	A4	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034820-01-01_R1.fastq.gz	IDR1900034820-01-01_R2.fastq.gz				
SRR18910163	SRP276100	new	PRJNA650381	SAMN27761480	IDR1900034827-01-01	A5	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034827-01-01_R1.fastq.gz	IDR1900034827-01-01_R2.fastq.gz				
SRR18910162	SRP276100	new	PRJNA650381	SAMN27761481	IDR1900034828-01-01	A6	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034828-01-01_R1.fastq.gz	IDR1900034828-01-01_R2.fastq.gz				
SRR18910161	SRP276100	new	PRJNA650381	SAMN27761482	IDR1900034830-01-01	A7	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034830-01-01_R1.fastq.gz	IDR1900034830-01-01_R2.fastq.gz				
SRR18910212	SRP276100	new	PRJNA650381	SAMN27761572	IDR1900034831-01-01	A8	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034831-01-01_R1.fastq.gz	IDR1900034831-01-01_R2.fastq.gz				
SRR18910211	SRP276100	new	PRJNA650381	SAMN27761573	IDR1900034832-01-01	A9	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034832-01-01_R1.fastq.gz	IDR1900034832-01-01_R2.fastq.gz				
SRR18910200	SRP276100	new	PRJNA650381	SAMN27761574	IDR1900034833-01-01	A10	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034833-01-01_R1.fastq.gz	IDR1900034833-01-01_R2.fastq.gz				
SRR18910199	SRP276100	new	PRJNA650381	SAMN27761575	IDR1900034834-01-01	A11	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034834-01-01_R1.fastq.gz	IDR1900034834-01-01_R2.fastq.gz				
SRR18910198	SRP276100	new	PRJNA650381	SAMN27761576	IDR1900034835-01-01	A145	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034835-01-01_R1.fastq.gz	IDR1900034835-01-01_R2.fastq.gz				
SRR18910197	SRP276100	new	PRJNA650381	SAMN27761577	IDR1900034837-01-01	A12	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034837-01-01_R1.fastq.gz	IDR1900034837-01-01_R2.fastq.gz				
SRR18910196	SRP276100	new	PRJNA650381	SAMN27761578	IDR1900034838-01-01	A13	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034838-01-01_R1.fastq.gz	IDR1900034838-01-01_R2.fastq.gz				
SRR18910195	SRP276100	new	PRJNA650381	SAMN27761579	IDR1900034839-01-01	A14	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034839-01-01_R1.fastq.gz	IDR1900034839-01-01_R2.fastq.gz				
SRR18910194	SRP276100	new	PRJNA650381	SAMN27761580	IDR1900034840-01-01	A15	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034840-01-01_R1.fastq.gz	IDR1900034840-01-01_R2.fastq.gz				
SRR18910193	SRP276100	new	PRJNA650381	SAMN27761581	IDR1900034841-01-01	A146	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034841-01-01_R1.fastq.gz	IDR1900034841-01-01_R2.fastq.gz				
SRR18910210	SRP276100	new	PRJNA650381	SAMN27761582	IDR1900034948-01-02	A78	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900034948-01-02_R1.fastq.gz	IDR1900034948-01-02_R2.fastq.gz				
SRR18910209	SRP276100	new	PRJNA650381	SAMN27761583	IDR1900035141-01-01	A16	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900035141-01-01_R1.fastq.gz	IDR1900035141-01-01_R2.fastq.gz				
SRR18910208	SRP276100	new	PRJNA650381	SAMN27761584	IDR1900035455-01-02	A147	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900035455-01-02_R1.fastq.gz	IDR1900035455-01-02_R2.fastq.gz				
SRR18910207	SRP276100	new	PRJNA650381	SAMN27761585	IDR1900035508-01-01	A17	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900035508-01-01_R1.fastq.gz	IDR1900035508-01-01_R2.fastq.gz				
SRR18910206	SRP276100	new	PRJNA650381	SAMN27761586	IDR1900035509-01-01	A18	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900035509-01-01_R1.fastq.gz	IDR1900035509-01-01_R2.fastq.gz				
SRR18910205	SRP276100	new	PRJNA650381	SAMN27761587	IDR1900035511-01-01	A19	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900035511-01-01_R1.fastq.gz	IDR1900035511-01-01_R2.fastq.gz				
SRR18910204	SRP276100	new	PRJNA650381	SAMN27761588	IDR1900035649-01-01	A20	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900035649-01-01_R1.fastq.gz	IDR1900035649-01-01_R2.fastq.gz				
SRR18910203	SRP276100	new	PRJNA650381	SAMN27761589	IDR1900035817-01-01	A21	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900035817-01-01_R1.fastq.gz	IDR1900035817-01-01_R2.fastq.gz				
SRR18910202	SRP276100	new	PRJNA650381	SAMN27761590	IDR1900036055-01-02	A148	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036055-01-02_R1.fastq.gz	IDR1900036055-01-02_R2.fastq.gz				
SRR18910201	SRP276100	new	PRJNA650381	SAMN27761591	IDR1900036271-01-01	A22	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036271-01-01_R1.fastq.gz	IDR1900036271-01-01_R2.fastq.gz				
SRR18911004	SRP276100	new	PRJNA650381	SAMN27761649	IDR1900036272-01-01	A23	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036272-01-01_R1.fastq.gz	IDR1900036272-01-01_R2.fastq.gz				
SRR18911003	SRP276100	new	PRJNA650381	SAMN27761650	IDR1900036274-01-01	A149	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036274-01-01_R1.fastq.gz	IDR1900036274-01-01_R2.fastq.gz				
SRR18910992	SRP276100	new	PRJNA650381	SAMN27761651	IDR1900036275-01-01	A24	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036275-01-01_R1.fastq.gz	IDR1900036275-01-01_R2.fastq.gz				
SRR18910991	SRP276100	new	PRJNA650381	SAMN27761652	IDR1900036276-01-01	A25	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036276-01-01_R1.fastq.gz	IDR1900036276-01-01_R2.fastq.gz				
SRR18910990	SRP276100	new	PRJNA650381	SAMN27761653	IDR1900036278-01-01	A26	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036278-01-01_R1.fastq.gz	IDR1900036278-01-01_R2.fastq.gz				
SRR18910989	SRP276100	new	PRJNA650381	SAMN27761654	IDR1900036280-01-01	A27	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036280-01-01_R1.fastq.gz	IDR1900036280-01-01_R2.fastq.gz				
SRR18910988	SRP276100	new	PRJNA650381	SAMN27761655	IDR1900036284-01-01	A28	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036284-01-01_R1.fastq.gz	IDR1900036284-01-01_R2.fastq.gz				
SRR18910987	SRP276100	new	PRJNA650381	SAMN27761656	IDR1900036441-01-01	A150	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036441-01-01_R1.fastq.gz	IDR1900036441-01-01_R2.fastq.gz				
SRR18910986	SRP276100	new	PRJNA650381	SAMN27761657	IDR1900036450-01-01	A151	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036450-01-01_R1.fastq.gz	IDR1900036450-01-01_R2.fastq.gz				
SRR18910985	SRP276100	new	PRJNA650381	SAMN27761658	IDR1900036792-01-02	A152	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036792-01-02_R1.fastq.gz	IDR1900036792-01-02_R2.fastq.gz				
SRR18911002	SRP276100	new	PRJNA650381	SAMN27761659	IDR1900036958-01-01	A153	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900036958-01-01_R1.fastq.gz	IDR1900036958-01-01_R2.fastq.gz				
